Nom du pays,Population,Superficie,Capitale,Population capitale,Latitude,Longitude
Japon,Inconnu,Inconnu,"Tokyo35°41′N, 139°46′E",Inconnu,Inconnu,Inconnu
France,Inconnu,Inconnu,"Paris48°52′N, 2°19,59′E",Inconnu,Inconnu,Inconnu
